Updates 10, num timesteps 7040, FPS 305
 Last 35 training episodes: mean/median reward 0.18/0.00, min/max reward 0.00/1.00, success rate 0.20

Updates 20, num timesteps 13440, FPS 318
 Last 65 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.17

Updates 30, num timesteps 19840, FPS 322
 Last 95 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 40, num timesteps 26240, FPS 323
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.14

Updates 50, num timesteps 32640, FPS 324
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 60, num timesteps 39040, FPS 324
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 70, num timesteps 45440, FPS 325
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 80, num timesteps 51840, FPS 326
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 90, num timesteps 58240, FPS 326
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

 

Updates 100, num timesteps 64640, FPS 326
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.14

Updates 110, num timesteps 71040, FPS 327
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.12

Updates 120, num timesteps 77440, FPS 327
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 130, num timesteps 83840, FPS 327
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/1.00, success rate 0.06

Updates 140, num timesteps 90240, FPS 327
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 150, num timesteps 96640, FPS 327
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.12

Updates 160, num timesteps 103040, FPS 328
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.14

Updates 170, num timesteps 109440, FPS 328
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 180, num timesteps 115840, FPS 328
