Updates 10, num timesteps 13200, FPS 373
 Last 6 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 20, num timesteps 25200, FPS 399
 Last 12 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 30, num timesteps 37200, FPS 410
 Last 24 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 40, num timesteps 49200, FPS 420
 Last 30 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 50, num timesteps 61200, FPS 425
 Last 37 training episodes: mean/median reward 0.03/0.00, min/max reward 0.00/1.00, success rate 0.03

Updates 60, num timesteps 73200, FPS 429
 Last 43 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/1.00, success rate 0.02

Updates 70, num timesteps 85200, FPS 424
 Last 55 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/1.00, success rate 0.02

Updates 80, num timesteps 97200, FPS 414
 Last 61 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/1.00, success rate 0.02

Updates 90, num timesteps 109200, FPS 414
 Last 67 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

 

Updates 100, num timesteps 121200, FPS 417
 Last 79 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 110, num timesteps 133200, FPS 417
 Last 85 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 120, num timesteps 145200, FPS 418
 Last 91 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 130, num timesteps 157200, FPS 418
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/1.00, success rate 0.02

Updates 140, num timesteps 169200, FPS 418
 Last 100 training episodes: mean/median reward 0.03/0.00, min/max reward 0.00/1.00, success rate 0.03

Updates 150, num timesteps 181200, FPS 419
 Last 100 training episodes: mean/median reward 0.03/0.00, min/max reward 0.00/1.00, success rate 0.03

Updates 160, num timesteps 193200, FPS 414
 Last 100 training episodes: mean/median reward 0.03/0.00, min/max reward 0.00/1.00, success rate 0.03

Updates 170, num timesteps 205200, FPS 417
 Last 100 training episodes: mean/median reward 0.03/0.00, min/max reward 0.00/1.00, success rate 0.03

Updates 180, num timesteps 217200, FPS 421
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.86, success rate 0.02

Updates 190, num timesteps 229200, FPS 424
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.86, success rate 0.02

 

Updates 200, num timesteps 241200, FPS 426
 Last 100 training episodes: mean/median reward 0.03/0.00, min/max reward 0.00/0.97, success rate 0.03

Updates 210, num timesteps 253200, FPS 429
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.05

Updates 220, num timesteps 265200, FPS 431
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.05

Updates 230, num timesteps 277200, FPS 433
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.05

Updates 240, num timesteps 289200, FPS 434
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.05

Updates 250, num timesteps 301200, FPS 437
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.05

Updates 260, num timesteps 313200, FPS 438
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.05

Updates 270, num timesteps 325200, FPS 439
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.04

Updates 280, num timesteps 337200, FPS 441
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.04

Updates 290, num timesteps 349200, FPS 443
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.04

 

Updates 300, num timesteps 361200, FPS 443
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.04

Updates 310, num timesteps 373200, FPS 445
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.05

Updates 320, num timesteps 385200, FPS 446
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.97, success rate 0.05

Updates 330, num timesteps 397200, FPS 446
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.88, success rate 0.02

Updates 340, num timesteps 409200, FPS 447
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.88, success rate 0.02

Updates 350, num timesteps 421200, FPS 448
